country,optimal_number,optimal_change_point_year,optimality_gap,RSS,method
United Kingdom,5,"[1984, 1988, 1995, 2000, 2016]",0.5207245986120329,0.03365048051484642,Baseline
France,5,"[1975, 1986, 2001, 2008, 2018]",0.5683746892568878,0.03498151485100136,Baseline
Germany,5,"[1976, 1983, 2002, 2007, 2016]",0.8505066591101945,0.17823502287401458,Baseline
Luxembourg,5,"[1982, 1995, 2004, 2011, 2017]",0.26682596680846904,0.0334899037807362,Baseline
Ireland,5,"[1978, 1987, 1996, 2010, 2020]",0.0,0.11290764198222633,Baseline
Malta,5,"[1983, 1986, 1997, 2002, 2006]",0.0,0.7672130883042311,Baseline
United Kingdom,4,"[1986, 1995, 2000, 2016]",0.02277085213379527,0.049165276357533684,Quadratic Penalty
France,4,"[1975, 1985, 2008, 2018]",0.38105007172464556,0.07323275809812342,Quadratic Penalty
Germany,5,"[1976, 1983, 2002, 2007, 2016]",0.44471254597912235,0.17823502287401455,Quadratic Penalty
Luxembourg,4,"[1982, 2004, 2011, 2017]",0.2379914465279057,0.06574451946757578,Quadratic Penalty
Ireland,5,"[1978, 1987, 1996, 2010, 2020]",6.902929803123431e-05,0.11290764198222637,Quadratic Penalty
Malta,5,"[1983, 1986, 1997, 2002, 2006]",0.0,0.767213088304231,Quadratic Penalty
United Kingdom,5,"[1984, 1988, 1995, 2000, 2016]",0.0,0.038065703202273066,Squared BigM
France,5,"[1975, 1986, 2001, 2008, 2018]",0.2546235772656649,0.03497426797258771,Squared BigM
Germany,5,"[1976, 1983, 2002, 2007, 2016]",0.48980069626309164,0.1887010303594267,Squared BigM
Luxembourg,5,"[1982, 1995, 2004, 2012, 2018]",0.0,0.03736241049346236,Squared BigM
Ireland,5,"[1978, 1987, 1996, 2010, 2020]",0.4208704361542319,0.11259326279938014,Squared BigM
Malta,5,"[1980, 1986, 1991, 1997, 2004]",0.0,2.388930126894815,Squared BigM
United Kingdom,5,"[1984, 1988, 1995, 2000, 2016]",8.728569570307008e-05,0.0341794370654374,l2 regularization
France,5,"[1975, 1986, 2001, 2008, 2018]",0.0,0.034986904529119164,l2 regularization
Germany,5,"[1976, 1983, 2002, 2007, 2016]",0.0,0.1782617344547151,l2 regularization
Luxembourg,5,"[1982, 1995, 2004, 2011, 2017]",3.1840171689855706e-05,0.03373186707199262,l2 regularization
Ireland,5,"[1978, 1987, 1996, 2010, 2020]",0.0,0.11290879591801369,l2 regularization
Malta,5,"[1983, 1986, 1997, 2002, 2006]",0.0,0.7672202133707365,l2 regularization
United Kingdom,4,"[1986, 1995, 2000, 2016]",,0.04916527635753376,Bai and Perron
France,5,"[1975, 1986, 2001, 2008, 2018]",,0.03498151485100139,Bai and Perron
Germany,5,"[1976, 1983, 2002, 2007, 2016]",,0.1782350228740146,Bai and Perron
Luxembourg,5,"[1982, 1995, 2004, 2011, 2017]",,0.03348990378073618,Bai and Perron
Ireland,5,"[1978, 1987, 1996, 2010, 2019]",,0.10582613045341449,Bai and Perron
Malta,5,"[1985, 1988, 1997, 2002, 2005]",,0.7008134858394697,Bai and Perron
