"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.7,1.22,1000,505,499,500,504,510,508
0.7,1.22,1000,491,492,490,494,493,485
0.7,1.22,1000,503,505,511,501,510,495
0.7,1.22,1000,502,506,497,501,493,492
0.7,1.22,1000,498,482,485,499,503,505
0.7,1.22,1000,493,492,499,491,498,497
0.7,1.22,1000,526,520,499,491,498,497
0.7,1.22,1000,501,503,504,496,499,505
0.7,1.22,1000,511,498,525,513,528,504
0.7,1.22,1000,514,519,509,524,522,527
0.7,1.22,1000,506,504,505,507,501,518
0.7,1.22,1000,503,507,501,499,500,506
0.7,1.22,1000,497,500,505,502,496,503
0.7,1.22,1000,505,500,518,498,514,507
0.7,1.22,1000,494,496,497,493,1,2
0.7,1.22,1000,496,522,505,500,503,516
0.7,1.22,1000,524,510,531,500,501,521
0.7,1.22,1000,496,499,498,500,517,480
0.7,1.22,1000,498,497,499,500,501,490
0.7,1.22,1000,502,296,297,500,299,317
0.7,1.22,1000,500,480,490,487,473,491
0.7,1.22,1000,513,500,496,505,494,506
0.7,1.22,1000,502,503,501,506,500,514
0.7,1.22,1000,501,510,491,506,497,511
0.7,1.22,1000,495,493,497,491,494,490
0.7,1.22,1000,500,506,507,595,505,596
0.7,1.22,1000,500,501,498,505,503,363
0.7,1.22,1000,501,499,498,500,495,218
0.7,1.22,1000,514,513,285,518,515,509
0.7,1.22,1000,501,504,494,503,492,489
0.7,1.22,1000,500,483,501,486,489,493
0.7,1.22,1000,498,499,494,500,490,501
0.7,1.22,1000,485,480,507,488,483,499
0.7,1.22,1000,494,492,493,501,491,485
0.7,1.22,1000,501,498,509,500,506,499
0.7,1.22,1000,502,507,505,503,497,493
0.7,1.22,1000,497,501,500,488,503,489
0.7,1.22,1000,499,498,502,497,504,500
0.7,1.22,1000,490,499,506,489,495,493
0.7,1.22,1000,520,503,510,502,504,513
0.7,1.22,1000,509,507,504,506,514,500
0.7,1.22,1000,496,493,501,498,489,492
0.7,1.22,1000,500,501,512,513,499,514
0.7,1.22,1000,494,500,518,496,504,521
0.7,1.22,1000,503,500,505,501,498,504
0.7,1.22,1000,501,497,494,502,496,492
0.7,1.22,1000,499,503,494,492,495,497
0.7,1.22,1000,497,496,498,500,495,499
0.7,1.22,1000,512,498,511,500,493,491
0.7,1.22,1000,497,502,490,483,498,495
0.7,1.22,1000,494,493,492,510,526,511
0.7,1.22,1000,494,479,483,491,472,473
0.7,1.22,1000,504,498,503,502,487,497
0.7,1.22,1000,499,496,498,501,500,497
0.7,1.22,1000,492,486,488,485,496,483
0.7,1.22,1000,499,491,863,927,13,40
0.7,1.22,1000,507,506,501,505,577,580
0.7,1.22,1000,491,497,496,495,488,500
0.7,1.22,1000,501,495,498,493,488,491
0.7,1.22,1000,501,495,487,497,498,496
0.7,1.22,1000,500,499,512,498,506,511
0.7,1.22,1000,498,500,502,496,518,972
0.7,1.22,1000,507,493,495,515,513,490
0.7,1.22,1000,521,520,519,511,527,545
0.7,1.22,1000,495,493,491,507,494,490
0.7,1.22,1000,499,497,494,500,502,501
0.7,1.22,1000,501,503,497,511,498,489
0.7,1.22,1000,494,492,496,486,497,495
0.7,1.22,1000,488,490,502,522,489,484
0.7,1.22,1000,494,499,500,497,502,491
0.7,1.22,1000,494,491,492,489,488,498
0.7,1.22,1000,505,498,506,508,492,503
0.7,1.22,1000,499,497,498,500,502,483
0.7,1.22,1000,450,451,441,446,444,460
0.7,1.22,1000,527,524,529,528,526,525
0.7,1.22,1000,499,502,500,497,501,493
0.7,1.22,1000,487,484,499,486,496,482
0.7,1.22,1000,479,457,493,449,478,500
0.7,1.22,1000,492,501,503,504,496,493
0.7,1.22,1000,527,537,523,529,504,525
0.7,1.22,1000,488,487,494,499,486,485
0.7,1.22,1000,520,522,502,523,521,519
0.7,1.22,1000,510,489,492,517,503,523
0.7,1.22,1000,496,502,510,494,499,511
0.7,1.22,1000,489,499,498,491,487,483
0.7,1.22,1000,501,507,497,514,503,482
0.7,1.22,1000,491,494,493,496,507,480
0.7,1.22,1000,495,493,508,506,489,497
0.7,1.22,1000,500,503,505,502,504,501
0.7,1.22,1000,494,493,499,501,486,497
0.7,1.22,1000,498,497,501,486,495,505
0.7,1.22,1000,507,505,503,502,508,504
0.7,1.22,1000,500,497,499,502,501,496
0.7,1.22,1000,499,501,490,494,514,488
0.7,1.22,1000,495,492,498,501,487,489
0.7,1.22,1000,518,513,508,515,504,507
0.7,1.22,1000,500,518,501,506,510,519
0.7,1.22,1000,504,498,502,496,505,490
0.7,1.22,1000,498,505,495,507,500,490
0.7,1.22,1000,501,504,507,502,499,508
0.7,1.22,1000,504,503,500,7,501,6
0.7,1.22,1000,491,505,498,499,502,504
0.7,1.22,1000,491,501,500,492,502,494
0.7,1.22,1000,1,534,533,540,536,527
0.7,1.22,1000,502,499,505,507,503,498
0.7,1.22,1000,500,504,497,502,501,503
0.7,1.22,1000,499,501,498,495,503,497
0.7,1.22,1000,500,507,515,502,503,509
0.7,1.22,1000,497,493,496,503,495,498
0.7,1.22,1000,499,498,516,495,501,503
0.7,1.22,1000,509,525,560,559,492,558
0.7,1.22,1000,505,502,504,506,507,496
0.7,1.22,1000,480,475,476,500,479,477
0.7,1.22,1000,500,503,5,501,68,65
0.7,1.22,1000,497,490,488,499,493,500
0.7,1.22,1000,501,502,500,503,477,481
0.7,1.22,1000,497,491,498,499,473,474
0.7,1.22,1000,513,511,514,932,930,931
0.7,1.22,1000,489,491,500,499,487,496
0.7,1.22,1000,498,500,499,501,502,503
0.7,1.22,1000,513,500,506,497,516,509
0.7,1.22,1000,498,496,967,504,494,493
0.7,1.22,1000,501,498,499,504,503,505
0.7,1.22,1000,491,490,479,498,494,496
0.7,1.22,1000,487,501,495,482,496,486
0.7,1.22,1000,494,495,491,490,481,485
0.7,1.22,1000,508,506,509,504,503,498
0.7,1.22,1000,504,501,510,503,508,512
0.7,1.22,1000,506,505,498,504,512,511
0.7,1.22,1000,538,544,497,551,536,542
0.7,1.22,1000,511,510,500,522,508,513
0.7,1.22,1000,501,506,498,499,512,507
0.7,1.22,1000,514,510,504,503,512,517
0.7,1.22,1000,501,500,512,513,511,502
0.7,1.22,1000,501,495,490,506,494,502
0.7,1.22,1000,515,517,516,499,513,514
0.7,1.22,1000,489,487,500,499,493,488
0.7,1.22,1000,496,527,499,507,538,560
0.7,1.22,1000,509,505,510,499,530,903
