Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
6,389.6002519130707,0.0,6.0,1000,0.0,[499]
0,471.6420531272888,0.0,6.0,1000,0.07126208510312806,[499]
7,471.86500787734985,0.0,6.0,1000,0.1283418527302893,[498]
3,471.916476726532,0.0,6.0,1000,0.09521660405761886,[499]
2,472.0392110347748,0.0,6.0,1000,0.09769610156438935,[499]
5,472.3776891231537,0.0,6.0,1000,0.11792267219375324,[497]
4,472.79129791259766,0.0,6.0,1000,0.09793116083798954,[499]
1,472.90345287323,0.0,6.0,1000,0.12117426765434475,[499]
6,514.3571939468384,0.3,6.0,1000,0.134446794004963,[499]
0,462.2087779045105,0.3,6.0,1000,0.12974139016220712,[499]
3,462.3961627483368,0.3,6.0,1000,0.13238184863278804,[503]
7,462.5590226650238,0.3,6.0,1000,0.15025066399958203,[499]
2,462.43173694610596,0.3,6.0,1000,0.14796813633662476,[499]
5,462.6620557308197,0.3,6.0,1000,0.16892978169047276,[499]
1,463.2559196949005,0.3,6.0,1000,0.1761073313067783,[499]
4,463.3768081665039,0.3,6.0,1000,0.17458276732509537,[499]
6,477.77098202705383,0.7,6.0,1000,0.32108888558542803,[499]
0,462.1249740123749,0.7,6.0,1000,0.8550483178325461,"[134, 171, 189, 365, 385]"
3,462.043016910553,0.7,6.0,1000,0.30554260876829137,[499]
2,462.09713792800903,0.7,6.0,1000,0.29283673932693866,[499]
7,462.164253950119,0.7,6.0,1000,0.2909073575692641,[499]
5,462.8253059387207,0.7,6.0,1000,0.3312615624818048,[499]
4,463.56149983406067,0.7,6.0,1000,0.31440022581084087,[499]
1,463.69766306877136,0.7,6.0,1000,0.26976858583225344,[499]
6,473.5471649169922,0.0,3.52,1000,0.13258573719996314,[499]
0,463.7669677734375,0.0,3.52,1000,0.1263304262840921,[499]
3,463.7633261680603,0.0,3.52,1000,0.13944574986403954,[499]
2,463.7555911540985,0.0,3.52,1000,0.12315956182702735,[498]
7,463.786523103714,0.0,3.52,1000,0.24543351609103534,"[483, 494]"
5,464.42444801330566,0.0,3.52,1000,0.11532672386252055,[497]
4,465.716037273407,0.0,3.52,1000,0.13265677974659904,[499]
1,466.0204529762268,0.0,3.52,1000,0.1329721317604384,[499]
