Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
0,444.1687691,0,6,1000,0.866192782,[]
0,448.369987,0.3,6,1000,0.549419591,"[494, 506, 898]"
0,449.2599933,0.7,6,1000,0.884345792,[]
0,448.1136861,0,3.52,1000,0.146672652,[498]
0,448.3590441,0.3,3.52,1000,0.826815731,[]
0,449.6579251,0.7,3.52,1000,0.827928835,[]
0,450.0186951,0,2.07,1000,0.710034067,[]
0,453.0421662,0.3,2.07,1000,0.706549992,[]
0,456.1598001,0.7,2.07,1000,0.767105087,[]
0,460.7542768,0,1.22,1000,0.599849117,[]
0,461.4031379,0.3,1.22,1000,0.611271193,[]
0,464.3629642,0.7,1.22,1000,0.659340459,[]
0,458.3263671,0,0.71,1000,0.548010905,[]
0,461.9225543,0.3,0.71,1000,0.513278948,[]
0,461.5557971,0.7,0.71,1000,0.61095704,[]
1,444.192004,0,6,1000,0.139722927,[499]
1,448.3464611,0.3,6,1000,0.865737999,[]
1,449.1269059,0.7,6,1000,0.87206947,[]
1,448.2919381,0,3.52,1000,0.134955589,[498]
1,448.709594,0.3,3.52,1000,0.804941409,[]
1,449.4504552,0.7,3.52,1000,0.834780055,[]
1,450.2057161,0,2.07,1000,0.714752417,[]
1,452.812185,0.3,2.07,1000,0.711617596,[]
1,455.8276479,0.7,2.07,1000,0.767384495,[989]
1,460.9467058,0,1.22,1000,0.625547759,[]
1,461.6967881,0.3,1.22,1000,0.589259696,[]
1,463.9164202,0.7,1.22,1000,0.699035447,[]
1,458.4596009,0,0.71,1000,0.50365106,[]
1,462.049449,0.3,0.71,1000,0.543572744,[995]
1,461.604167,0.7,0.71,1000,0.64095889,[]
2,444.1752577,0,6,1000,0.178833176,[500]
2,448.6546731,0.3,6,1000,0.871923849,[]
2,448.7333,0.7,6,1000,0.892073952,[]
2,448.838954,0,3.52,1000,0.182028622,[508]
2,448.3685739,0.3,3.52,1000,0.815320651,[]
2,450.8481841,0.7,3.52,1000,0.831038921,[]
2,450.632555,0,2.07,1000,0.143003608,[499]
2,451.3851779,0.3,2.07,1000,0.72219643,[]
2,455.3244522,0.7,2.07,1000,0.77093933,"[641, 658]"
2,461.029685,0,1.22,1000,0.624454553,[]
2,461.5970838,0.3,1.22,1000,0.614602074,[]
2,463.9406312,0.7,1.22,1000,0.700124828,[]
2,458.5157068,0,0.71,1000,0.497662138,[]
2,461.9312129,0.3,0.71,1000,0.538749277,[]
2,461.3177879,0.7,0.71,1000,0.617158164,[988]
3,443.8008158,0,6,1000,0.143360015,[499]
3,448.0532649,0.3,6,1000,0.541514006,"[156, 242, 499]"
3,449.875572,0.7,6,1000,0.895453484,[]
3,447.912219,0,3.52,1000,0.811452497,[]
3,448.2661049,0.3,3.52,1000,0.813517461,[]
3,449.8661978,0.7,3.52,1000,0.841433711,[]
3,450.008306,0,2.07,1000,0.713515632,[]
3,452.8013968,0.3,2.07,1000,0.729508533,[997]
3,455.5021098,0.7,2.07,1000,0.761889449,[7]
3,461.5934472,0,1.22,1000,0.605509662,[]
3,460.1758373,0.3,1.22,1000,0.607709495,[]
3,464.3932781,0.7,1.22,1000,0.670889106,[]
3,459.3363793,0,0.71,1000,0.554609162,[]
3,461.4157588,0.3,0.71,1000,0.530731432,[]
3,461.7940538,0.7,0.71,1000,0.602785526,"[441, 457]"
4,444.296659,0,6,1000,0.200727844,[499]
4,448.578233,0.3,6,1000,0.627317549,"[249, 466, 499, 672]"
4,449.114516,0.7,6,1000,0.893621602,[]
4,448.7792499,0,3.52,1000,0.797814266,[]
4,450.892688,0.3,3.52,1000,0.816946832,[]
4,454.7577469,0.7,3.52,1000,0.831506129,[]
4,460.9789622,0,2.07,1000,0.15018943,[499]
4,469.4154639,0.3,2.07,1000,0.168669883,[499]
4,483.9345129,0.7,2.07,1000,0.269967574,[498]
4,489.2710507,0,1.22,1000,0.137330422,[499]
4,482.3708673,0.3,1.22,1000,0.156254428,[499]
4,499.3760338,0.7,1.22,1000,0.339598856,[511]
4,455.1876471,0,0.71,1000,0.169294074,[500]
4,460.8486731,0.3,0.71,1000,0.220800509,[495]
4,495.5597179,0.7,0.71,1000,0.36553536,[488]
5,444.1136,0,6,1000,0.173919231,[499]
5,448.566921,0.3,6,1000,0.856639846,[]
5,448.9168723,0.7,6,1000,0.887839069,[]
5,448.46281,0,3.52,1000,0.295010421,"[499, 974]"
5,448.4920998,0.3,3.52,1000,0.813132653,[]
5,449.835861,0.7,3.52,1000,0.842431178,[]
5,449.807524,0,2.07,1000,0.392115543,"[396, 482, 499]"
5,452.791352,0.3,2.07,1000,0.725283396,[]
5,456.0816448,0.7,2.07,1000,0.763101478,[994]
5,460.784086,0,1.22,1000,0.620770227,[]
5,461.4951239,0.3,1.22,1000,0.61171644,[6]
5,463.660363,0.7,1.22,1000,0.698494546,"[587, 605]"
5,458.8351829,0,0.71,1000,0.51727472,[]
5,462.0250671,0.3,0.71,1000,0.546581801,[]
5,461.7048471,0.7,0.71,1000,0.62984667,[]
6,444.1376879,0,6,1000,0.164586582,[502]
6,448.686198,0.3,6,1000,0.86985393,[]
6,448.8684011,0.7,6,1000,0.890209772,[]
6,448.5937417,0,3.52,1000,0.149554728,[499]
6,448.3273737,0.3,3.52,1000,0.798325404,[]
6,449.508275,0.7,3.52,1000,0.834617568,[]
6,450.1101041,0,2.07,1000,0.70111,[]
6,453.044019,0.3,2.07,1000,0.7411351,[]
6,455.6263759,0.7,2.07,1000,0.74763006,[4]
6,461.0767162,0,1.22,1000,0.653456742,[]
6,461.586977,0.3,1.22,1000,0.602420173,[]
6,463.941515,0.7,1.22,1000,0.675079107,[]
6,458.4965761,0,0.71,1000,0.276443466,"[74, 469, 489]"
6,461.946893,0.3,0.71,1000,0.534681563,[]
6,461.3175962,0.7,0.71,1000,0.613549286,[9]
7,444.028115,0,6,1000,0.182763158,[500]
7,448.3832479,0.3,6,1000,0.869638744,[]
7,449.0009022,0.7,6,1000,0.88897205,[]
7,448.2268531,0,3.52,1000,0.3107386,"[499, 719]"
7,448.600265,0.3,3.52,1000,0.797608109,[]
7,449.7310321,0.7,3.52,1000,0.847731535,[]
7,449.9469478,0,2.07,1000,0.688207791,[]
7,453.0054641,0.3,2.07,1000,0.729282949,[]
7,455.8854489,0.7,2.07,1000,0.773284145,[]
7,461.0985103,0,1.22,1000,0.60230964,[]
7,460.8985951,0.3,1.22,1000,0.616285025,[]
7,464.7938521,0.7,1.22,1000,0.670008791,[]
7,458.297879,0,0.71,1000,0.531241788,[]
7,461.900537,0.3,0.71,1000,0.507052454,[]
7,461.4007101,0.7,0.71,1000,0.62106858,[18]
8,443.7581933,0,6,1000,0.148433806,[499]
8,447.716403,0.3,6,1000,0.128957682,[499]
8,449.3358681,0.7,6,1000,0.886819872,[]
8,448.253958,0,3.52,1000,0.310690472,"[499, 524]"
8,448.4237258,0.3,3.52,1000,0.817879339,[]
8,449.7781644,0.7,3.52,1000,0.8240262,[]
8,450.313678,0,2.07,1000,0.131469301,[498]
8,452.9961929,0.3,2.07,1000,0.73345808,[]
8,456.2657118,0.7,2.07,1000,0.742334015,[]
8,460.8599238,0,1.22,1000,0.148451268,[501]
8,460.2495341,0.3,1.22,1000,0.604784726,[]
8,465.3208411,0.7,1.22,1000,0.702717093,[]
8,458.4171519,0,0.71,1000,0.523546913,[]
8,461.4282262,0.3,0.71,1000,0.507319342,[]
8,461.4194832,0.7,0.71,1000,0.576359737,[7]
9,444.0825047,0,6,1000,0.140425137,[499]
9,448.6121621,0.3,6,1000,0.878542697,[]
9,449.3830502,0.7,6,1000,0.889838202,[995]
9,448.7028449,0,3.52,1000,0.146802591,[499]
9,448.8529861,0.3,3.52,1000,0.795293979,[]
9,448.6393013,0.7,3.52,1000,0.832869599,[]
9,449.939254,0,2.07,1000,0.703878312,[]
9,452.788877,0.3,2.07,1000,0.735386486,[]
9,456.1174481,0.7,2.07,1000,0.76212246,[]
9,460.8212709,0,1.22,1000,0.56448471,[]
9,461.6002331,0.3,1.22,1000,0.635792614,[]
9,463.8577843,0.7,1.22,1000,0.685928063,[]
9,458.5653279,0,0.71,1000,0.517070155,[]
9,461.885226,0.3,0.71,1000,0.54403181,[]
9,461.9151139,0.7,0.71,1000,0.569858288,[]
10,443.6920362,0,6,1000,0.16694178,[499]
10,447.4726939,0.3,6,1000,0.864309506,[]
10,448.6647191,0.7,6,1000,0.890801347,[990]
10,448.9376972,0,3.52,1000,0.170638714,[501]
10,448.9829919,0.3,3.52,1000,0.816364245,[]
10,450.4212298,0.7,3.52,1000,0.829909397,[]
10,449.6150861,0,2.07,1000,0.094969922,[500]
10,453.2613451,0.3,2.07,1000,0.721210435,[]
10,455.7838519,0.7,2.07,1000,0.747253364,[]
10,460.7529061,0,1.22,1000,0.628596607,[]
10,460.2346349,0.3,1.22,1000,0.633503711,[]
10,465.4507241,0.7,1.22,1000,0.685357371,[]
10,458.370153,0,0.71,1000,0.516042563,[]
10,461.5825291,0.3,0.71,1000,0.517337562,[986]
10,460.9328749,0.7,0.71,1000,0.623335334,[991]
11,443.9364879,0,6,1000,0.17386723,[499]
11,448.2765689,0.3,6,1000,0.874265193,[]
11,448.8182521,0.7,6,1000,0.884538164,[990]
11,448.5854249,0,3.52,1000,0.320992876,"[448, 499]"
11,448.7909253,0.3,3.52,1000,0.803744147,[]
11,449.4522941,0.7,3.52,1000,0.830984164,[]
11,450.072552,0,2.07,1000,0.69445063,[]
11,452.947067,0.3,2.07,1000,0.742046603,[]
11,456.2534912,0.7,2.07,1000,0.783660698,[]
11,460.7308571,0,1.22,1000,0.158981017,[499]
11,461.4549849,0.3,1.22,1000,0.633763324,[]
11,464.276628,0.7,1.22,1000,0.675749675,[]
11,458.2318802,0,0.71,1000,0.49635855,[]
11,461.9377673,0.3,0.71,1000,0.534430151,[]
11,461.3102331,0.7,0.71,1000,0.593391955,[6]
12,443.999675,0,6,1000,0.166850753,[499]
12,448.3256161,0.3,6,1000,0.8849156,[]
12,449.0351789,0.7,6,1000,0.895676272,[4]
12,448.0873868,0,3.52,1000,0.787982158,[]
12,449.0968788,0.3,3.52,1000,0.811904171,[]
12,449.5489793,0.7,3.52,1000,0.832993533,[]
12,450.055295,0,2.07,1000,0.149234466,[499]
12,452.977164,0.3,2.07,1000,0.728611929,[]
12,455.7700181,0.7,2.07,1000,0.737561016,[3]
12,461.0199981,0,1.22,1000,0.615896066,[]
12,461.0758579,0.3,1.22,1000,0.629699479,[]
12,464.2164774,0.7,1.22,1000,0.642262081,[]
12,458.6144261,0,0.71,1000,0.541773428,[]
12,461.9226727,0.3,0.71,1000,0.512464527,[]
12,461.45208,0.7,0.71,1000,0.61468537,"[454, 459]"
13,443.8998432,0,6,1000,0.192738446,[498]
13,447.852948,0.3,6,1000,0.876949783,[]
13,450.1220732,0.7,6,1000,0.887349298,[]
13,447.8141999,0,3.52,1000,0.797504462,[]
13,448.157388,0.3,3.52,1000,0.824447653,[]
13,449.8605602,0.7,3.52,1000,0.828941977,[]
13,450.2877512,0,2.07,1000,0.248177699,"[383, 498]"
13,452.7435799,0.3,2.07,1000,0.728372118,[]
13,455.991205,0.7,2.07,1000,0.764110129,[]
13,461.1639569,0,1.22,1000,0.211108616,"[314, 499]"
13,460.6903012,0.3,1.22,1000,0.626005694,[]
13,463.8016918,0.7,1.22,1000,0.683109816,[3]
13,459.4138439,0,0.71,1000,0.454572667,[]
13,461.7481778,0.3,0.71,1000,0.547344306,[]
13,461.5993299,0.7,0.71,1000,0.622928333,[8]
14,443.910115,0,6,1000,0.174599072,[500]
14,448.3502967,0.3,6,1000,0.540501819,"[477, 499, 556]"
14,448.8794031,0.7,6,1000,0.889075115,[985]
14,447.883358,0,3.52,1000,0.15762247,[499]
14,448.9138749,0.3,3.52,1000,0.801246724,[]
14,449.7244599,0.7,3.52,1000,0.837526978,[]
14,450.152117,0,2.07,1000,0.696513758,[]
14,453.2383652,0.3,2.07,1000,0.742686821,[]
14,455.8214321,0.7,2.07,1000,0.734006838,[]
14,460.9856339,0,1.22,1000,0.622167475,[]
14,461.2593811,0.3,1.22,1000,0.612732468,[]
14,463.9100468,0.7,1.22,1000,0.695710768,[]
14,458.7359147,0,0.71,1000,0.536235478,[]
14,461.9703822,0.3,0.71,1000,0.555320211,[]
14,461.5555,0.7,0.71,1000,0.585237162,[]
15,443.843889,0,6,1000,0.15294376,[499]
15,447.7069108,0.3,6,1000,0.869452227,[]
15,450.0551951,0.7,6,1000,0.889972601,[]
15,447.8510032,0,3.52,1000,0.159713365,[499]
15,448.4224157,0.3,3.52,1000,0.808841885,[]
15,450.4013798,0.7,3.52,1000,0.835023827,[]
15,449.786859,0,2.07,1000,0.159141117,[500]
15,452.899915,0.3,2.07,1000,0.740258649,[]
15,455.7189751,0.7,2.07,1000,0.753081126,[985]
15,461.0805199,0,1.22,1000,0.605603018,[]
15,461.043041,0.3,1.22,1000,0.631992972,[]
15,464.0034399,0.7,1.22,1000,0.671770755,[]
15,458.8920231,0,0.71,1000,0.508345773,[]
15,461.563369,0.3,0.71,1000,0.571377028,[]
15,461.71544,0.7,0.71,1000,0.580678701,[]
16,443.8005252,0,6,1000,0.177030042,[499]
16,448.3314641,0.3,6,1000,0.870263617,[]
16,449.9005911,0.7,6,1000,0.882426827,[]
16,448.4054031,0,3.52,1000,0.307354369,"[499, 543]"
16,448.112025,0.3,3.52,1000,0.820462272,[]
16,449.4925239,0.7,3.52,1000,0.849322442,[]
16,449.9316139,0,2.07,1000,0.709484478,[]
16,452.9167769,0.3,2.07,1000,0.723608066,[]
16,456.00506,0.7,2.07,1000,0.759590915,[]
16,460.8368552,0,1.22,1000,0.616556695,[]
16,460.9535079,0.3,1.22,1000,0.618211227,[]
16,464.3620901,0.7,1.22,1000,0.691984607,[]
16,458.668503,0,0.71,1000,0.561186375,[]
16,461.6415582,0.3,0.71,1000,0.560265513,[]
16,461.116982,0.7,0.71,1000,0.611942135,[7]
17,443.8617089,0,6,1000,0.165335154,[499]
17,447.7507269,0.3,6,1000,0.872062986,[]
17,449.7497699,0.7,6,1000,0.893861788,[22]
17,448.251766,0,3.52,1000,0.466284594,"[414, 504, 693]"
17,448.9619999,0.3,3.52,1000,0.802611549,[]
17,449.4102821,0.7,3.52,1000,0.831601963,[]
17,450.0331371,0,2.07,1000,0.742862043,[]
17,452.7750778,0.3,2.07,1000,0.708317682,[]
17,455.8046937,0.7,2.07,1000,0.761402719,[]
17,461.0160751,0,1.22,1000,0.625647889,[]
17,460.9203172,0.3,1.22,1000,0.62654485,[]
17,463.6499078,0.7,1.22,1000,0.680438694,[7]
17,459.5552371,0,0.71,1000,0.187749582,"[499, 886]"
17,461.7349229,0.3,0.71,1000,0.527513764,[]
17,461.1477871,0.7,0.71,1000,0.624965763,"[213, 231]"
18,458.8841932,0,6,1000,0.186024449,[499]
18,453.9367459,0.3,6,1000,0.677097125,"[362, 499, 745, 789]"
18,458.208153,0.7,6,1000,0.876490123,[]
18,459.3242362,0,3.52,1000,0.694880761,"[307, 325, 499, 635, 764]"
18,456.8794992,0.3,3.52,1000,0.793691013,[]
18,455.491025,0.7,3.52,1000,0.83001051,[]
18,457.7408741,0,2.07,1000,0.715306362,[]
18,455.2680829,0.3,2.07,1000,0.735105726,[]
18,450.520597,0.7,2.07,1000,0.779644466,[]
18,449.0424252,0,1.22,1000,0.636968823,[]
18,450.0486312,0.3,1.22,1000,0.614220928,[]
18,452.5942011,0.7,1.22,1000,0.684089567,[989]
18,454.4473801,0,0.71,1000,0.489106178,[]
18,460.8733051,0.3,0.71,1000,0.535877998,[]
18,459.4924459,0.7,0.71,1000,0.571855153,[]
19,458.850425,0,6,1000,0.183860593,[499]
19,454.6166668,0.3,6,1000,0.760007911,"[319, 334, 499, 752, 791]"
19,459.208992,0.7,6,1000,0.893535411,[7]
19,458.361407,0,3.52,1000,0.795838525,[]
19,456.2932069,0.3,3.52,1000,0.818290149,[]
19,455.825314,0.7,3.52,1000,0.816527451,[]
19,457.397404,0,2.07,1000,0.241935454,"[499, 767]"
19,455.220001,0.3,2.07,1000,0.72519135,[]
19,450.1810069,0.7,2.07,1000,0.76576868,[]
19,449.6483221,0,1.22,1000,0.229233511,"[501, 693]"
19,449.77388,0.3,1.22,1000,0.622328936,[]
19,454.4891379,0.7,1.22,1000,0.665754332,[]
19,452.9162831,0,0.71,1000,0.544785643,[]
19,460.8312929,0.3,0.71,1000,0.498475329,[]
19,459.582984,0.7,0.71,1000,0.622972123,[]
20,459.1168978,0,6,1000,0.181142687,[499]
20,454.3261778,0.3,6,1000,0.868783788,[]
20,459.269901,0.7,6,1000,0.893488222,[]
20,458.132658,0,3.52,1000,0.156029441,[498]
20,456.4316061,0.3,3.52,1000,0.808720023,[]
20,455.1664891,0.7,3.52,1000,0.840137593,[987]
20,457.812876,0,2.07,1000,0.719083883,[]
20,455.3078139,0.3,2.07,1000,0.710844585,[]
20,450.0398543,0.7,2.07,1000,0.764531507,[]
20,449.7522969,0,1.22,1000,0.136749709,[500]
20,449.9704721,0.3,1.22,1000,0.611460941,[]
20,453.0335181,0.7,1.22,1000,0.676107428,[]
20,454.4562061,0,0.71,1000,0.504268873,[]
20,460.5601039,0.3,0.71,1000,0.500452175,[]
20,458.504421,0.7,0.71,1000,0.600214437,[991]
21,459.3678138,0,6,1000,0.172454669,[499]
21,454.4058797,0.3,6,1000,0.879644698,[]
21,458.901387,0.7,6,1000,0.889976442,[]
21,458.2158771,0,3.52,1000,0.479914991,"[500, 551, 757]"
21,456.2535021,0.3,3.52,1000,0.79472147,[]
21,455.9677441,0.7,3.52,1000,0.844447988,[]
21,457.3247249,0,2.07,1000,0.15305015,[498]
21,455.3105419,0.3,2.07,1000,0.728117216,[]
21,449.9962068,0.7,2.07,1000,0.77079139,[]
21,449.428092,0,1.22,1000,0.608751485,[]
21,450.1836288,0.3,1.22,1000,0.654215025,[]
21,452.2843368,0.7,1.22,1000,0.678949786,"[230, 255]"
21,454.287128,0,0.71,1000,0.462608073,[]
21,462.1705709,0.3,0.71,1000,0.496980863,[]
21,458.5118968,0.7,0.71,1000,0.618921028,[7]
22,459.2407739,0,6,1000,0.146875216,[499]
22,454.53667,0.3,6,1000,0.876911107,[]
22,458.765836,0.7,6,1000,0.890288597,[]
22,458.2370257,0,3.52,1000,0.303776685,"[500, 958]"
22,456.2117841,0.3,3.52,1000,0.804484832,[]
22,455.1555688,0.7,3.52,1000,0.847625108,[9]
22,458.0856912,0,2.07,1000,0.373175646,"[499, 595, 773]"
22,455.3053172,0.3,2.07,1000,0.715673716,[]
22,449.5404251,0.7,2.07,1000,0.754198789,[]
22,450.1342819,0,1.22,1000,0.606073263,[]
22,449.987061,0.3,1.22,1000,0.61732616,[]
22,453.6137321,0.7,1.22,1000,0.673034929,[]
22,454.0340772,0,0.71,1000,0.56139766,[]
22,460.5508282,0.3,0.71,1000,0.539743632,[]
22,459.7983932,0.7,0.71,1000,0.599845949,[]
23,459.0859311,0,6,1000,0.1732275,[499]
23,454.1755631,0.3,6,1000,0.885492496,[]
23,458.8669698,0.7,6,1000,0.901693267,[]
23,458.5030913,0,3.52,1000,0.144205219,[497]
23,456.351398,0.3,3.52,1000,0.165122633,[499]
23,455.4422781,0.7,3.52,1000,0.836648682,[948]
23,457.8687441,0,2.07,1000,0.242780851,"[500, 675]"
23,455.2672911,0.3,2.07,1000,0.739600951,[]
23,449.8538201,0.7,2.07,1000,0.774648529,[7]
23,449.5626791,0,1.22,1000,0.600508037,[]
23,450.3305101,0.3,1.22,1000,0.600619922,[]
23,452.450058,0.7,1.22,1000,0.682888148,[5]
23,454.6456451,0,0.71,1000,0.53988926,[]
23,461.206743,0.3,0.71,1000,0.516207385,[]
23,459.1129589,0.7,0.71,1000,0.620644439,[]
24,459.4941521,0,6,1000,0.179781202,[501]
24,455.1937988,0.3,6,1000,0.871129101,[]
24,456.5084469,0.7,6,1000,0.88020384,[981]
24,459.4158292,0,3.52,1000,0.128825475,[498]
24,456.6093261,0.3,3.52,1000,0.793228262,[]
24,455.5553291,0.7,3.52,1000,0.835103431,[997]
24,457.5722589,0,2.07,1000,0.384319534,"[176, 427, 499]"
24,455.2758598,0.3,2.07,1000,0.721159619,[]
24,450.868073,0.7,2.07,1000,0.76357988,[983]
24,449.3755801,0,1.22,1000,0.146127328,[500]
24,449.433778,0.3,1.22,1000,0.644648509,[]
24,453.4144611,0.7,1.22,1000,0.667950878,[]
24,453.4410629,0,0.71,1000,0.518142612,[]
24,461.0905058,0.3,0.71,1000,0.51989503,[]
24,459.281877,0.7,0.71,1000,0.613726562,"[427, 433]"
25,459.3421361,0,6,1000,0.17686296,[499]
25,454.152956,0.3,6,1000,0.148745004,[499]
25,458.7662032,0.7,6,1000,0.901988458,[991]
25,458.3857219,0,3.52,1000,0.150056464,[499]
25,456.3170578,0.3,3.52,1000,0.8187924,[]
25,455.7128768,0.7,3.52,1000,0.839860366,[]
25,457.475533,0,2.07,1000,0.720511325,[]
25,455.2941933,0.3,2.07,1000,0.744049374,[]
25,451.4966581,0.7,2.07,1000,0.756274453,[]
25,448.8277719,0,1.22,1000,0.632372377,[]
25,449.9599981,0.3,1.22,1000,0.670570684,[]
25,452.738883,0.7,1.22,1000,0.65929114,[]
25,453.8654571,0,0.71,1000,0.167176014,[498]
25,460.9201081,0.3,0.71,1000,0.514860282,[]
25,459.4807582,0.7,0.71,1000,0.592148881,[]
26,459.4606061,0,6,1000,0.187836018,[499]
26,455.4735739,0.3,6,1000,0.872874862,[]
26,455.9481668,0.7,6,1000,0.882197295,[989]
26,459.5859368,0,3.52,1000,0.786849294,[]
26,456.530782,0.3,3.52,1000,0.789878816,[]
26,455.6748779,0.7,3.52,1000,0.845454056,[]
26,457.4941387,0,2.07,1000,0.705015699,[]
26,455.3413711,0.3,2.07,1000,0.726747578,[]
26,451.1080761,0.7,2.07,1000,0.737831103,[32]
26,449.0017369,0,1.22,1000,0.617166136,[]
26,449.6267626,0.3,1.22,1000,0.624254604,[]
26,454.596679,0.7,1.22,1000,0.652646809,[]
26,453.179656,0,0.71,1000,0.498243094,[]
26,460.494158,0.3,0.71,1000,0.509900278,[]
26,459.1404381,0.7,0.71,1000,0.57872451,[]
27,459.4868889,0,6,1000,0.16924442,[499]
27,455.0199211,0.3,6,1000,0.884244955,[]
27,457.618125,0.7,6,1000,0.895685453,[]
27,458.4173787,0,3.52,1000,0.1626869,[498]
27,456.4570601,0.3,3.52,1000,0.806221034,[]
27,455.2858758,0.7,3.52,1000,0.827067956,[5]
27,457.7062151,0,2.07,1000,0.742570235,[]
27,455.4277182,0.3,2.07,1000,0.708865121,[]
27,450.8716002,0.7,2.07,1000,0.772261976,[]
27,448.9617951,0,1.22,1000,0.620924287,[]
27,449.7693429,0.3,1.22,1000,0.632893657,[7]
27,453.1585631,0.7,1.22,1000,0.710297101,[]
27,454.111263,0,0.71,1000,0.522446385,[]
27,460.96457,0.3,0.71,1000,0.538616746,[]
27,459.187197,0.7,0.71,1000,0.636722383,[]
28,460.0847149,0,6,1000,0.169230866,[498]
28,456.47176,0.3,6,1000,0.881948176,[]
28,456.133949,0.7,6,1000,0.891201324,[]
28,457.9993491,0,3.52,1000,0.806079451,[]
28,456.365226,0.3,3.52,1000,0.790333675,[]
28,455.5262578,0.7,3.52,1000,0.825333059,[]
28,457.6845419,0,2.07,1000,0.692910815,[]
28,455.2316718,0.3,2.07,1000,0.7235117,[]
28,452.0321069,0.7,2.07,1000,0.754228926,[]
28,451.1118629,0,1.22,1000,0.648064304,[]
28,454.3094451,0.3,1.22,1000,0.605180394,[]
28,456.656122,0.7,1.22,1000,0.692206023,[]
28,459.3148878,0,0.71,1000,0.502890857,[]
28,460.7349062,0.3,0.71,1000,0.53380172,[]
28,462.1207039,0.7,0.71,1000,0.629875426,"[187, 211]"
29,460.1104109,0,6,1000,0.191559303,[499]
29,456.4039381,0.3,6,1000,0.869773045,[]
29,455.9148741,0.7,6,1000,0.88705869,[]
29,458.2646589,0,3.52,1000,0.167998428,[499]
29,456.3849154,0.3,3.52,1000,0.821292946,[]
29,455.4371881,0.7,3.52,1000,0.822548779,[]
29,457.754236,0,2.07,1000,0.71466849,[]
29,455.2237749,0.3,2.07,1000,0.707854375,[]
29,451.6423471,0.7,2.07,1000,0.75778927,[]
29,450.6317081,0,1.22,1000,0.629886615,[]
29,453.0624349,0.3,1.22,1000,0.666016348,[]
