Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
0,429.5204461,0,6,1000,0.891008992,"[39, 140, 968]"
0,431.832278,0.3,6,1000,0.408384543,[499]
0,431.9280701,0.7,6,1000,0.485913903,[500]
0,432.1138542,0,3.52,1000,0.397695229,[498]
0,432.4339042,0.3,3.52,1000,0.409953879,[499]
0,432.3930721,0.7,3.52,1000,0.510732977,"[506, 515]"
0,432.3164501,0,2.07,1000,0.809613015,[940]
0,432.5498271,0.3,2.07,1000,0.431600201,[499]
0,432.519779,0.7,2.07,1000,0.805198895,[872]
0,432.6478288,0,1.22,1000,0.487436639,"[454, 493, 499]"
0,432.7744219,0.3,1.22,1000,0.72945667,"[29, 39, 140, 940, 969]"
0,432.854991,0.7,1.22,1000,0.647348869,"[364, 437, 452, 883]"
0,434.1773839,0,0.71,1000,0.823462641,[]
0,436.379914,0.3,0.71,1000,0.627866865,[803]
0,435.714622,0.7,0.71,1000,0.5252575,"[297, 419, 615, 769, 850]"
1,429.199846,0,6,1000,0.396948071,[499]
1,431.9740202,0.3,6,1000,0.414343084,[498]
1,431.879288,0.7,6,1000,0.491980773,"[499, 923]"
1,432.0541906,0,3.52,1000,0.847875168,[940]
1,433.624702,0.3,3.52,1000,0.925762205,[]
1,431.9481301,0.7,3.52,1000,0.456873147,[499]
1,432.0532303,0,2.07,1000,0.392923553,[498]
1,432.5183742,0.3,2.07,1000,0.439030855,[500]
1,432.5937963,0.7,2.07,1000,0.66260639,"[502, 506, 515, 522, 625]"
1,432.4047329,0,1.22,1000,0.734290292,"[39, 140, 940]"
1,432.6567278,0.3,1.22,1000,0.656294266,"[701, 716]"
1,432.8502967,0.7,1.22,1000,0.460946996,"[506, 513, 572, 707, 994]"
1,433.4125431,0,0.71,1000,0.452004706,"[249, 487, 980]"
1,436.6610501,0.3,0.71,1000,0.613681987,"[295, 955]"
1,435.867871,0.7,0.71,1000,0.54814344,"[359, 426, 450]"
2,429.332077,0,6,1000,0.91034138,[968]
2,431.8934751,0.3,6,1000,0.905455256,"[39, 140, 940]"
2,433.0453801,0.7,6,1000,0.961334657,[]
2,431.8386459,0,3.52,1000,0.391324813,[499]
2,431.8330629,0.3,3.52,1000,0.418705135,[499]
2,432.1733799,0.7,3.52,1000,0.751821262,"[498, 506, 643]"
2,432.373544,0,2.07,1000,0.436325293,[499]
2,432.572098,0.3,2.07,1000,0.809467387,"[39, 140, 940, 968]"
2,432.3277061,0.7,2.07,1000,0.762582088,"[248, 435, 450]"
2,432.7736762,0,1.22,1000,0.551327421,"[87, 356, 592, 830]"
2,432.824291,0.3,1.22,1000,0.42630344,"[131, 498]"
2,432.8273711,0.7,1.22,1000,0.455658957,"[109, 500]"
2,433.2446783,0,0.71,1000,0.660365892,"[39, 140, 940]"
2,436.5955071,0.3,0.71,1000,0.503062657,"[506, 515, 562]"
2,435.8923512,0.7,0.71,1000,0.564547663,"[18, 506, 515, 646, 807]"
3,429.2216201,0,6,1000,0.43606863,[499]
3,431.9115419,0.3,6,1000,0.896197364,"[39, 140, 940]"
3,431.8752549,0.7,6,1000,0.927494082,"[39, 875, 894, 940]"
3,432.269902,0,3.52,1000,0.384241242,[498]
3,432.5586233,0.3,3.52,1000,0.850492258,"[39, 140, 940]"
3,432.0803471,0.7,3.52,1000,0.48180734,"[499, 855]"
3,432.511883,0,2.07,1000,0.408120226,[500]
3,432.6168888,0.3,2.07,1000,0.809466278,"[39, 140, 969]"
3,432.4045761,0.7,2.07,1000,0.523208716,"[115, 499, 863]"
3,432.501133,0,1.22,1000,0.621689507,"[221, 776]"
3,432.8955979,0.3,1.22,1000,0.726875582,"[39, 140, 285, 290, 940]"
3,432.820977,0.7,1.22,1000,0.641443145,"[124, 367, 375, 997]"
3,433.3552101,0,0.71,1000,0.612944839,"[39, 140, 940]"
3,436.6584222,0.3,0.71,1000,0.525627359,[463]
3,435.7735541,0.7,0.71,1000,0.524052849,"[440, 450, 453, 869]"
4,429.3383608,0,6,1000,0.357208067,[499]
4,431.8992467,0.3,6,1000,0.899779695,"[39, 140, 940, 969]"
4,431.7800391,0.7,6,1000,0.921005055,"[39, 875, 894, 940]"
4,432.2371488,0,3.52,1000,0.834241934,"[39, 140, 969]"
4,432.301935,0.3,3.52,1000,0.424895695,[499]
4,432.6257021,0.7,3.52,1000,0.459488997,[499]
4,432.196841,0,2.07,1000,0.394546936,[499]
4,432.7205081,0.3,2.07,1000,0.803893404,"[39, 140, 940, 968]"
4,432.5008221,0.7,2.07,1000,0.508415298,"[331, 501, 929]"
4,432.6723049,0,1.22,1000,0.718896121,"[31, 39, 140]"
4,432.7582448,0.3,1.22,1000,0.713870274,"[39, 140, 940]"
4,432.840327,0.7,1.22,1000,0.765618276,"[39, 540, 552, 968]"
4,433.3265622,0,0.71,1000,0.655909406,[940]
4,436.783926,0.3,0.71,1000,0.645495251,"[39, 107, 968]"
4,436.0454438,0.7,0.71,1000,0.625531229,"[253, 260, 435, 452]"
5,429.385304,0,6,1000,0.423688783,[499]
5,432.1248651,0.3,6,1000,0.902039474,"[39, 140, 871, 899, 940]"
5,432.2108819,0.7,6,1000,0.457113776,[499]
5,432.1406901,0,3.52,1000,0.401141063,[499]
5,432.0941429,0.3,3.52,1000,0.41419337,[499]
5,432.6114511,0.7,3.52,1000,0.488303231,[499]
5,432.4770832,0,2.07,1000,0.412242258,[499]
5,432.5484588,0.3,2.07,1000,0.794475513,"[39, 140, 940]"
5,432.3488109,0.7,2.07,1000,0.803747871,"[39, 506, 522, 926]"
5,432.6658173,0,1.22,1000,0.589834891,[386]
5,432.7361817,0.3,1.22,1000,0.633292323,"[498, 506, 515, 631]"
5,432.917484,0.7,1.22,1000,0.565818705,"[322, 506, 522, 583, 720]"
5,433.2572601,0,0.71,1000,0.546549966,[361]
5,436.7343919,0.3,0.71,1000,0.623078077,[278]
5,435.9272962,0.7,0.71,1000,0.46831235,"[491, 899]"
6,429.2921031,0,6,1000,0.376830376,[499]
6,431.8719969,0.3,6,1000,0.397178769,[499]
6,431.999881,0.7,6,1000,0.515908736,[504]
6,431.8810592,0,3.52,1000,0.408753076,[498]
6,432.5777721,0.3,3.52,1000,0.425041499,[499]
6,432.3058901,0.7,3.52,1000,0.814501947,[699]
6,432.3911839,0,2.07,1000,0.802400843,"[39, 140, 940]"
6,432.675997,0.3,2.07,1000,0.416740202,[497]
6,432.5766711,0.7,2.07,1000,0.827428355,"[435, 452, 738, 754, 924]"
6,432.538048,0,1.22,1000,0.415949362,"[500, 777, 984]"
6,432.7767599,0.3,1.22,1000,0.721482991,"[39, 140, 940]"
6,432.677671,0.7,1.22,1000,0.521853074,"[434, 531, 627, 865, 960]"
6,433.514292,0,0.71,1000,0.515195762,"[323, 410, 421]"
6,436.7111509,0.3,0.71,1000,0.45604712,"[172, 484, 728, 863]"
6,435.8341181,0.7,0.71,1000,0.635242128,"[29, 39, 737, 754, 968]"
7,429.250772,0,6,1000,0.400691763,[500]
7,431.8107064,0.3,6,1000,0.4294048,[499]
7,432.0618081,0.7,6,1000,0.960456689,"[39, 875, 894, 940]"
7,432.2200551,0,3.52,1000,0.393749631,[499]
7,432.3164752,0.3,3.52,1000,0.418373275,[499]
7,432.3563659,0.7,3.52,1000,0.483857992,[499]
7,432.2439742,0,2.07,1000,0.415209764,[498]
7,432.6447179,0.3,2.07,1000,0.417938349,[497]
7,432.491178,0.7,2.07,1000,0.443723313,[500]
7,432.7308233,0,1.22,1000,0.726665083,"[39, 140, 940]"
7,433.608104,0.3,1.22,1000,0.867626925,[]
7,432.6780102,0.7,1.22,1000,0.548885533,[552]
7,432.9328928,0,0.71,1000,0.441403253,"[486, 788, 996]"
7,436.5173528,0.3,0.71,1000,0.62307656,[870]
7,435.7821319,0.7,0.71,1000,0.557237951,"[111, 319, 506, 522, 701]"
8,429.3182991,0,6,1000,0.379664776,[499]
8,431.7882168,0.3,6,1000,0.906703467,"[39, 140, 940]"
8,433.5535982,0.7,6,1000,0.964534785,[]
8,431.7078209,0,3.52,1000,0.870110344,"[39, 140, 760, 851, 968]"
8,431.9199512,0.3,3.52,1000,0.860103116,"[39, 140, 871, 899, 940]"
8,432.0871711,0.7,3.52,1000,0.487009999,"[38, 499, 895]"
8,432.4524329,0,2.07,1000,0.789517084,[]
8,432.179678,0.3,2.07,1000,0.803811255,"[39, 140, 940]"
8,432.6278031,0.7,2.07,1000,0.499478659,"[223, 276, 434, 499, 648]"
8,432.7005491,0,1.22,1000,0.447794474,[499]
8,432.717818,0.3,1.22,1000,0.696592983,"[139, 201]"
8,432.7936924,0.7,1.22,1000,0.613046967,"[288, 372, 710, 877]"
8,433.178978,0,0.71,1000,0.611480165,"[39, 107]"
8,436.6417842,0.3,0.71,1000,0.433173466,"[29, 370, 501]"
8,435.995486,0.7,0.71,1000,0.673530936,"[39, 337, 350, 965, 968]"
9,429.289681,0,6,1000,0.416360913,[499]
9,432.4423962,0.3,6,1000,0.951397117,[]
9,431.938062,0.7,6,1000,0.460363658,[499]
9,432.3078418,0,3.52,1000,0.399193488,[501]
9,432.2317193,0.3,3.52,1000,0.422108937,[500]
9,432.2655351,0.7,3.52,1000,0.584600656,"[506, 515, 522, 527]"
9,432.483393,0,2.07,1000,0.811311233,[]
