Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
6,461.16949105262756,0.0,6.0,1000,0.06393174149636718,[500]
2,461.3481910228729,0.0,6.0,1000,0.05807773486199499,[]
1,461.57324409484863,0.0,6.0,1000,0.06879520639795517,[499]
5,461.7068181037903,0.0,6.0,1000,0.4297482081488159,[759]
7,461.7128839492798,0.0,6.0,1000,0.05929851972230043,[499]
3,461.88267993927,0.0,6.0,1000,0.05666516496533109,[499]
4,462.0630421638489,0.0,6.0,1000,0.07222182124842334,[499]
0,462.8415081501007,0.0,6.0,1000,0.09574207123198804,[482]
6,465.1394872665405,0.3,6.0,1000,0.09454299748033375,[499]
2,465.0399272441864,0.3,6.0,1000,0.10569789807744676,[500]
1,465.09101271629333,0.3,6.0,1000,0.14136714976609596,"[358, 502]"
5,465.4439890384674,0.3,6.0,1000,0.10599298088243067,[498]
7,465.5583999156952,0.3,6.0,1000,0.0893008701798887,[499]
3,465.59171509742737,0.3,6.0,1000,0.2019318596868211,"[481, 485, 491, 498]"
4,466.1475520133972,0.3,6.0,1000,0.07796992740311734,[499]
0,466.97134709358215,0.3,6.0,1000,0.09712282943781855,[499]
6,469.54713702201843,0.7,6.0,1000,0.5231926239847066,"[257, 610]"
2,469.5710299015045,0.7,6.0,1000,0.21495695350211777,[497]
1,469.5939588546753,0.7,6.0,1000,0.23913667836887811,[499]
7,469.5955739021301,0.7,6.0,1000,0.2550664439253065,"[504, 746]"
5,469.7795419692993,0.7,6.0,1000,0.21742972758521573,[499]
3,469.80654215812683,0.7,6.0,1000,0.19611376327942998,[499]
4,470.080087184906,0.7,6.0,1000,0.23026710441058632,[499]
0,471.798700094223,0.7,6.0,1000,0.21311511869345018,[499]
6,472.4198389053345,0.0,3.52,1000,0.13633348944511275,"[349, 496]"
2,472.47511887550354,0.0,3.52,1000,0.08312622469923969,[498]
1,472.626984834671,0.0,3.52,1000,0.41701675777179165,[865]
5,472.70541191101074,0.0,3.52,1000,0.32885093819888733,[637]
7,472.72828698158264,0.0,3.52,1000,0.4207643985340445,[777]
3,472.92958402633667,0.0,3.52,1000,0.23249810621121,[552]
4,472.87812209129333,0.0,3.52,1000,0.09783052852830942,[499]
0,475.4396741390228,0.0,3.52,1000,0.09349068518706667,[499]
6,476.2545030117035,0.3,3.52,1000,0.15972829116091825,[504]
2,476.2720031738281,0.3,3.52,1000,0.4884923232747847,"[359, 861]"
1,476.1328008174896,0.3,3.52,1000,0.1282375073243375,[499]
7,475.7840301990509,0.3,3.52,1000,0.27021517647994275,"[456, 690]"
5,475.885066986084,0.3,3.52,1000,0.38798173750094406,[387]
3,476.1286370754242,0.3,3.52,1000,0.12814379429782655,[501]
4,476.2951261997223,0.3,3.52,1000,0.4916357319011129,"[203, 773]"
0,481.7968108654022,0.3,3.52,1000,0.1594637379702596,[499]
6,478.1647970676422,0.7,3.52,1000,0.5806548189815618,[393]
2,478.2932541370392,0.7,3.52,1000,0.4323970519472376,"[264, 551]"
1,478.0533838272095,0.7,3.52,1000,0.2888710466744606,[499]
7,478.4937720298767,0.7,3.52,1000,0.6189564156554249,[703]
5,478.59167408943176,0.7,3.52,1000,0.29452821285858616,[499]
3,478.5184988975525,0.7,3.52,1000,0.3058992084198286,[499]
4,478.8115088939667,0.7,3.52,1000,0.4640547966186133,[451]
0,489.71310210227966,0.7,3.52,1000,0.3035504644556447,[499]
6,481.6717209815979,0.0,2.07,1000,0.17732443766003933,[497]
2,481.50803899765015,0.0,2.07,1000,0.1617982599873346,[493]
1,481.8010220527649,0.0,2.07,1000,0.2073146643186267,[527]
5,481.400945186615,0.0,2.07,1000,0.18826377328029364,"[522, 586]"
7,481.7551290988922,0.0,2.07,1000,0.389344807530444,[718]
3,481.8740282058716,0.0,2.07,1000,0.2542966789312289,[414]
4,482.1312298774719,0.0,2.07,1000,0.1513815419541115,[499]
0,504.2261507511139,0.0,2.07,1000,0.12083521175376304,[499]
6,491.31530380249023,0.3,2.07,1000,0.26608296996627073,"[205, 484]"
2,491.52483010292053,0.3,2.07,1000,0.4696054636358316,[823]
1,491.42785382270813,0.3,2.07,1000,0.2110799307442538,[499]
5,491.6790597438812,0.3,2.07,1000,0.4622919981832838,[827]
7,491.68307185173035,0.3,2.07,1000,0.362174979765569,[576]
3,491.73711371421814,0.3,2.07,1000,0.22149981599115276,[499]
4,492.011656999588,0.3,2.07,1000,0.5027608933183315,"[51, 777]"
0,524.9450068473816,0.3,2.07,1000,0.30930637259941596,[456]
6,506.6333050727844,0.7,2.07,1000,0.4349936478774055,"[551, 769]"
2,506.3189260959625,0.7,2.07,1000,0.3154144690001224,[499]
1,506.2751319408417,0.7,2.07,1000,0.3514107370509611,"[232, 499]"
5,506.4158811569214,0.7,2.07,1000,0.678779441806688,[]
7,506.56036281585693,0.7,2.07,1000,0.5937747328095089,"[312, 951]"
3,507.0904929637909,0.7,2.07,1000,0.510102977146332,"[594, 974]"
4,506.9742910861969,0.7,2.07,1000,0.6717775106892553,[]
0,541.8600740432739,0.7,2.07,1000,0.6946114038681075,[]
6,513.4498538970947,0.0,1.22,1000,0.2780743513973267,"[444, 628]"
2,513.9610021114349,0.0,1.22,1000,0.22415741313203127,[493]
1,514.1831202507019,0.0,1.22,1000,0.31023784257913906,[457]
5,514.2508571147919,0.0,1.22,1000,0.3143131714971999,[591]
7,514.8685350418091,0.0,1.22,1000,0.359815948726713,"[341, 868]"
3,515.5440180301666,0.0,1.22,1000,0.21878625580976502,"[499, 722]"
4,515.1635708808899,0.0,1.22,1000,0.27247274134442145,[541]
0,606.0660219192505,0.0,1.22,1000,0.3877601451054684,[639]
6,513.5239181518555,0.3,1.22,1000,0.4675997078584378,"[223, 872]"
2,513.8587501049042,0.3,1.22,1000,0.26756946525880604,"[458, 533]"
1,513.740556716919,0.3,1.22,1000,0.26071636459173536,[505]
5,513.7799921035767,0.3,1.22,1000,0.2648534527457103,[499]
7,514.0952162742615,0.3,1.22,1000,0.3871011680780228,"[255, 597]"
3,514.9491379261017,0.3,1.22,1000,0.2602912865989622,"[498, 682, 926]"
4,515.9941482543945,0.3,1.22,1000,0.3474503953274445,[408]
0,634.5166449546814,0.3,1.22,1000,0.25466438598790425,[489]
6,508.157607793808,0.7,1.22,1000,0.6584457603553964,[]
2,508.0086278915405,0.7,1.22,1000,0.356081847076392,[498]
1,508.05911111831665,0.7,1.22,1000,0.3889114514273694,"[145, 508]"
5,507.78401803970337,0.7,1.22,1000,0.40345624522878804,"[547, 910]"
7,507.6548149585724,0.7,1.22,1000,0.6481585280465901,[]
3,507.5520730018616,0.7,1.22,1000,0.6534453187970637,[]
4,507.90217185020447,0.7,1.22,1000,0.3635765612494505,"[218, 498]"
0,614.2425332069397,0.7,1.22,1000,0.6737375003706256,[]
6,497.1625249385834,0.0,0.71,1000,0.30571828015412844,"[383, 717]"
2,496.92909598350525,0.0,0.71,1000,0.2658496833456395,[509]
1,496.8626961708069,0.0,0.71,1000,0.32711483538205743,[698]
5,497.5826871395111,0.0,0.71,1000,0.31254933438506244,"[453, 706]"
7,497.03745102882385,0.0,0.71,1000,0.453225892339189,[923]
3,497.9012520313263,0.0,0.71,1000,0.3114780486955065,"[545, 996]"
4,499.54340291023254,0.0,0.71,1000,0.32957773641829036,"[345, 793]"
0,532.8007597923279,0.0,0.71,1000,0.341695109143619,"[256, 724]"
6,492.7434809207916,0.3,0.71,1000,0.3989099625840804,"[58, 657]"
2,492.58922600746155,0.3,0.71,1000,0.34393971050677663,[423]
1,493.02587819099426,0.3,0.71,1000,0.4270382598437534,[336]
5,492.9908630847931,0.3,0.71,1000,0.2987042576692315,[475]
7,492.88202023506165,0.3,0.71,1000,0.35193383071245476,[540]
3,494.50186681747437,0.3,0.71,1000,0.3712858781381743,"[273, 605]"
4,497.28527307510376,0.3,0.71,1000,0.2753869798853021,[499]
0,506.7431151866913,0.3,0.71,1000,0.3754494574199107,[315]
6,490.8676850795746,0.7,0.71,1000,0.571659788992274,[]
2,490.92871499061584,0.7,0.71,1000,0.5902598686875111,[]
1,490.91582202911377,0.7,0.71,1000,0.5707558793763609,[]
5,491.2014789581299,0.7,0.71,1000,0.5579278687103709,[]
7,490.8630106449127,0.7,0.71,1000,0.577902809416049,[]
3,493.18034410476685,0.7,0.71,1000,0.6044893348800384,[]
4,498.4344849586487,0.7,0.71,1000,0.5826184830907186,[]
8,493.22288393974304,0.0,6.0,1000,0.05932421009291482,[499]
0,497.8322250843048,0.7,0.71,1000,0.5749381151816579,[]
9,492.9734830856323,0.0,6.0,1000,0.0647450734315426,[495]
10,492.8429329395294,0.0,6.0,1000,0.06944428876547795,[499]
11,492.858540058136,0.0,6.0,1000,0.21560478391946025,[528]
12,492.9757800102234,0.0,6.0,1000,0.06895851886256302,[494]
13,495.01697993278503,0.0,6.0,1000,0.06970902986523565,[499]
14,504.52039408683777,0.0,6.0,1000,0.06978829353739724,[499]
8,499.01429772377014,0.3,6.0,1000,0.5857376131520736,"[45, 887]"
9,499.3358178138733,0.3,6.0,1000,0.09198984003312301,[499]
10,499.31981897354126,0.3,6.0,1000,0.5620365298297444,"[204, 967]"
15,501.04255986213684,0.0,6.0,1000,0.06970979409514187,[501]
11,499.10903882980347,0.3,6.0,1000,0.1126677084022363,[489]
12,498.9607849121094,0.3,6.0,1000,0.1787316857041597,[475]
13,500.5280077457428,0.3,6.0,1000,0.3178423318110549,"[275, 589]"
14,513.4167649745941,0.3,6.0,1000,0.08717348271970715,[500]
8,504.06438302993774,0.7,6.0,1000,0.21475564255399154,[499]
9,503.68983912467957,0.7,6.0,1000,0.4498550215116197,[540]
10,503.6475179195404,0.7,6.0,1000,0.23374959870681117,[499]
12,502.90885877609253,0.7,6.0,1000,0.22358603614700354,[499]
11,503.0095851421356,0.7,6.0,1000,0.7579094503291779,[]
15,504.2026810646057,0.3,6.0,1000,0.06391042271733216,[499]
13,505.1824598312378,0.7,6.0,1000,0.23164852841580041,[499]
14,527.2257752418518,0.7,6.0,1000,0.2134148818491777,[499]
8,506.12204813957214,0.0,3.52,1000,0.11215947271011972,[506]
9,506.27250504493713,0.0,3.52,1000,0.37443506136946947,"[129, 729]"
10,506.5523018836975,0.0,3.52,1000,0.10658473016446436,[499]
11,506.1626229286194,0.0,3.52,1000,0.22827247939541215,[553]
12,506.19443583488464,0.0,3.52,1000,0.45998586699215605,[842]
15,507.77720284461975,0.7,6.0,1000,0.22320481832309552,[499]
13,511.3279721736908,0.0,3.52,1000,0.3175892883759195,[610]
14,542.1528308391571,0.0,3.52,1000,0.47736053663469113,"[178, 919]"
8,521.5665590763092,0.3,3.52,1000,0.14994563484693235,[500]
9,521.4696960449219,0.3,3.52,1000,0.18435299760474283,[499]
10,521.2148370742798,0.3,3.52,1000,0.4926464299184673,"[112, 835]"
11,521.1744711399078,0.3,3.52,1000,0.12469328654052933,[499]
12,521.3989489078522,0.3,3.52,1000,0.23922244021564124,[543]
15,522.5650238990784,0.0,3.52,1000,0.41714044223846186,[681]
13,525.8974130153656,0.3,3.52,1000,0.1530513745633794,[495]
14,564.7366931438446,0.3,3.52,1000,0.4229746414448958,"[324, 693]"
8,525.004967212677,0.7,3.52,1000,0.3057155564688976,[499]
9,525.0171639919281,0.7,3.52,1000,0.26536479651834827,[500]
10,525.4890940189362,0.7,3.52,1000,0.3846287175897231,[483]
11,525.6870682239532,0.7,3.52,1000,0.5895600416678073,[354]
12,526.1927258968353,0.7,3.52,1000,0.6712126584748249,"[135, 196]"
15,527.6342170238495,0.3,3.52,1000,0.1511815298200204,[499]
13,531.4937860965729,0.7,3.52,1000,0.6209964907849078,"[354, 881]"
14,605.2799642086029,0.7,3.52,1000,0.4619525302230933,[539]
8,520.6261157989502,0.0,2.07,1000,0.14069184921727323,[499]
9,521.0208959579468,0.0,2.07,1000,0.44418903066565346,[225]
10,520.9610147476196,0.0,2.07,1000,0.16733249116191534,"[429, 499]"
11,520.4839360713959,0.0,2.07,1000,0.44428616044320735,[118]
12,521.5660600662231,0.0,2.07,1000,0.3024075954225274,[386]
15,524.6880049705505,0.7,3.52,1000,0.6489596521984056,[311]
13,542.1581048965454,0.0,2.07,1000,0.3699491999009597,"[268, 734]"
14,639.6625351905823,0.0,2.07,1000,0.34681470968397304,[349]
8,525.0623979568481,0.3,2.07,1000,0.40379739222338634,[599]
9,525.1767120361328,0.3,2.07,1000,0.4467933177199629,"[268, 754]"
10,525.0004789829254,0.3,2.07,1000,0.18411768752003213,[498]
11,525.7248899936676,0.3,2.07,1000,0.20701266833216211,[501]
12,526.3629832267761,0.3,2.07,1000,0.48080486017212437,[337]
15,530.6088619232178,0.0,2.07,1000,0.3300180865120711,"[311, 694]"
13,553.6041190624237,0.3,2.07,1000,0.2827313351096824,[479]
14,622.4546949863434,0.3,2.07,1000,0.189845218089517,[499]
8,520.6893839836121,0.7,2.07,1000,0.3330582126750005,[499]
9,520.9071071147919,0.7,2.07,1000,0.33129247543515794,[499]
10,520.9857411384583,0.7,2.07,1000,0.316136150729554,[499]
11,521.0476460456848,0.7,2.07,1000,0.32308157307465685,[500]
