Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
1,456.995285987854,0.0,6.0,1000,0.09101340699625506,[499]
2,456.99147391319275,0.0,6.0,1000,0.09342141110831009,[499]
4,457.1048409938812,0.0,6.0,1000,0.09149330198335304,[499]
0,457.2541859149933,0.0,6.0,1000,0.05686889676620925,[499]
5,457.3093092441559,0.0,6.0,1000,0.5752201795118542,"[121, 944]"
6,458.04092717170715,0.0,6.0,1000,0.08945277657537094,[499]
3,458.20276713371277,0.0,6.0,1000,0.09056327724367128,[496]
7,458.21390414237976,0.0,6.0,1000,0.08712313332509079,[499]
2,461.04765796661377,0.3,6.0,1000,0.13239421431898626,[499]
1,461.2105369567871,0.3,6.0,1000,0.15339461578194996,"[469, 499]"
4,461.1536271572113,0.3,6.0,1000,0.11792007921498483,[499]
0,461.14424991607666,0.3,6.0,1000,0.10533987857241263,[498]
5,461.2521800994873,0.3,6.0,1000,0.09075535804308198,[499]
7,462.0602080821991,0.3,6.0,1000,0.09466369133923896,[498]
6,462.2492940425873,0.3,6.0,1000,0.11106878424369036,[499]
3,462.2971439361572,0.3,6.0,1000,0.09183595908099221,[499]
2,464.03612208366394,0.7,6.0,1000,0.2042183684879123,[499]
1,464.0645229816437,0.7,6.0,1000,0.24606648581485108,[499]
4,464.1780939102173,0.7,6.0,1000,0.18797505026095504,[499]
0,464.1466600894928,0.7,6.0,1000,0.2284827127947341,[499]
5,464.0809998512268,0.7,6.0,1000,0.2021969324990169,[499]
6,464.995698928833,0.7,6.0,1000,0.25408236272890666,"[467, 499]"
7,465.1144139766693,0.7,6.0,1000,0.21161331325817256,[499]
3,465.168958902359,0.7,6.0,1000,0.21695877651849985,[499]
2,465.8401069641113,0.0,3.52,1000,0.10929772490500671,[500]
1,465.86259508132935,0.0,3.52,1000,0.2725509755836942,"[503, 537, 575, 604]"
4,465.76026129722595,0.0,3.52,1000,0.10932527056096049,[498]
0,466.0537750720978,0.0,3.52,1000,0.11483118320936708,[500]
5,466.11679697036743,0.0,3.52,1000,0.11629278174074768,[499]
6,467.58423709869385,0.0,3.52,1000,0.10319506245128371,[499]
7,467.68203997612,0.0,3.52,1000,0.10369250837613962,[499]
3,468.3557620048523,0.0,3.52,1000,0.1228460308852062,[499]
2,468.7574870586395,0.3,3.52,1000,0.16675483860265655,[499]
4,468.57578015327454,0.3,3.52,1000,0.28495415708881944,"[372, 404, 472]"
1,468.6410789489746,0.3,3.52,1000,0.15284716110043609,[499]
0,468.6438100337982,0.3,3.52,1000,0.1364454850803874,[499]
5,468.71655201911926,0.3,3.52,1000,0.5248683345545191,"[222, 301]"
6,471.71126103401184,0.3,3.52,1000,0.43144941471734055,"[325, 655]"
7,471.69327783584595,0.3,3.52,1000,0.15537664589282454,[499]
3,472.42512607574463,0.3,3.52,1000,0.17823726281877406,"[71, 501]"
2,471.5876019001007,0.7,3.52,1000,0.287431572685191,"[499, 601]"
1,471.8415632247925,0.7,3.52,1000,0.3037135470019306,"[407, 497]"
4,471.91370820999146,0.7,3.52,1000,0.257282712358454,[500]
0,471.7895300388336,0.7,3.52,1000,0.4326668515143692,"[233, 520, 527, 558]"
5,471.5932779312134,0.7,3.52,1000,0.2711346329623644,[499]
6,473.34683179855347,0.7,3.52,1000,0.3762798746129343,"[455, 472, 485, 499, 652]"
7,473.2387320995331,0.7,3.52,1000,0.3129870503527394,[487]
3,475.1139371395111,0.7,3.52,1000,0.5854314484856942,"[365, 375, 412, 421, 448]"
2,474.70863699913025,0.0,2.07,1000,0.19316809801612092,"[362, 499]"
1,474.5608468055725,0.0,2.07,1000,0.5329737183683781,[]
4,474.527468919754,0.0,2.07,1000,0.14194915542867256,[499]
5,474.5299108028412,0.0,2.07,1000,0.15930051456489244,[499]
