Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
0,291.98459577560425,0.0,6.0,1000,0.0,[499]
3,306.1104919910431,0.0,6.0,1000,0.0,[499]
6,333.62613129615784,0.0,6.0,1000,0.0,[499]
2,341.35968685150146,0.0,6.0,1000,0.0,[499]
1,347.70711517333984,0.0,6.0,1000,0.0,[499]
5,384.8323357105255,0.0,6.0,1000,0.0,[499]
4,419.0368208885193,0.0,6.0,1000,0.0,[499]
7,473.06771206855774,0.0,6.0,1000,0.1732062645679268,[499]
0,511.7965612411499,0.3,6.0,1000,0.039002857261974264,[499]
3,506.40270590782166,0.3,6.0,1000,0.20446539625746418,[499]
2,483.5712831020355,0.3,6.0,1000,0.0,[499]
6,498.9610638618469,0.3,6.0,1000,0.022276288590381742,[501]
1,495.83880710601807,0.3,6.0,1000,0.0,[499]
5,460.56732201576233,0.3,6.0,1000,0.0,[499]
4,506.63027596473694,0.3,6.0,1000,0.17282590663082972,[495]
7,527.7323460578918,0.3,6.0,1000,0.18264396564192265,[499]
0,511.3795669078827,0.7,6.0,1000,0.2751428735486796,[499]
3,507.063942193985,0.7,6.0,1000,0.2705069145343482,[499]
2,502.71470308303833,0.7,6.0,1000,0.2501516914692206,[499]
6,505.0516469478607,0.7,6.0,1000,0.29117441609813505,[499]
5,503.25954604148865,0.7,6.0,1000,0.22624797490566734,[499]
1,505.7691719532013,0.7,6.0,1000,0.2776642442083885,[499]
4,522.7189419269562,0.7,6.0,1000,0.2404330610142501,[499]
7,576.5883409976959,0.7,6.0,1000,0.26277749265401806,[499]
0,534.5650401115417,0.0,3.52,1000,0.1678794355790798,[500]
3,532.231183052063,0.0,3.52,1000,0.1484991977437115,[500]
2,531.8131189346313,0.0,3.52,1000,0.16412007219876396,[499]
6,534.7457401752472,0.0,3.52,1000,0.15514602243485792,[499]
5,534.5414910316467,0.0,3.52,1000,0.11620371584401318,[498]
1,538.5704021453857,0.0,3.52,1000,0.15870283609011257,[499]
4,592.3623716831207,0.0,3.52,1000,0.14694474878636632,[499]
7,705.9620192050934,0.0,3.52,1000,0.15212888873977318,[499]
0,632.8194010257721,0.3,3.52,1000,0.17964914802819804,[499]
3,631.011246919632,0.3,3.52,1000,0.8127888876892845,[]
2,629.8838107585907,0.3,3.52,1000,0.16858654364516512,[497]
6,630.781210899353,0.3,3.52,1000,0.17176404512573348,[499]
5,625.1893208026886,0.3,3.52,1000,0.1594112254693276,[499]
1,634.0787222385406,0.3,3.52,1000,0.15930305663535652,[498]
