Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
3,472.1938810348511,0.0,6.0,1000,0.42224706863100464,[499]
6,472.7028319835663,0.0,6.0,1000,0.374202655692857,[499]
4,473.15871691703796,0.0,6.0,1000,0.409374344134628,[499]
5,473.2750108242035,0.0,6.0,1000,0.3444608627331694,[499]
1,473.4409348964691,0.0,6.0,1000,0.33626133213697557,[499]
7,473.42264008522034,0.0,6.0,1000,0.3779134834254971,[499]
0,473.53001284599304,0.0,6.0,1000,0.38036125072509314,[499]
2,473.55930185317993,0.0,6.0,1000,0.2985423195107997,[499]
3,449.6063742637634,0.3,6.0,1000,0.32419010086274946,[499]
6,449.7441141605377,0.3,6.0,1000,0.41377638028277214,[499]
4,449.7043631076813,0.3,6.0,1000,0.4309524774663565,[499]
5,449.8414967060089,0.3,6.0,1000,0.31460175763794407,[499]
1,449.77462911605835,0.3,6.0,1000,0.3823565323762408,[499]
0,449.75862193107605,0.3,6.0,1000,0.3933649583744042,[499]
2,449.7951397895813,0.3,6.0,1000,0.3567273774720711,[499]
7,449.90607476234436,0.3,6.0,1000,0.4593572252656247,[500]
3,451.1124801635742,0.7,6.0,1000,0.4579824549585033,[499]
6,451.147910118103,0.7,6.0,1000,0.4130705434528793,[499]
4,451.05537271499634,0.7,6.0,1000,0.4726294158374441,[500]
1,451.1741693019867,0.7,6.0,1000,0.43425885958126076,[499]
5,451.29799795150757,0.7,6.0,1000,0.37338798225541336,[499]
0,451.36266922950745,0.7,6.0,1000,0.3875918218242841,[498]
2,451.3009829521179,0.7,6.0,1000,0.33059749514839715,[498]
7,451.3347330093384,0.7,6.0,1000,0.4350845497669659,[499]
3,451.90657019615173,0.0,3.52,1000,0.35853018247295604,[497]
6,452.1076171398163,0.0,3.52,1000,0.30923365576544964,[497]
4,452.2719159126282,0.0,3.52,1000,0.3932108891269436,[499]
1,452.1871359348297,0.0,3.52,1000,0.403205372930224,[499]
5,452.28271889686584,0.0,3.52,1000,0.35902107671575423,[498]
0,452.13651299476624,0.0,3.52,1000,0.32501404962354064,[500]
7,452.1023018360138,0.0,3.52,1000,0.2667175197644855,[499]
2,452.2079122066498,0.0,3.52,1000,0.3778201217927831,[499]
3,454.2532379627228,0.3,3.52,1000,0.41696746551797975,[499]
6,454.0869472026825,0.3,3.52,1000,0.41290532256623436,[503]
4,453.9036829471588,0.3,3.52,1000,0.33335359351967225,[499]
1,453.8397228717804,0.3,3.52,1000,0.31645189201577123,[499]
5,453.83688402175903,0.3,3.52,1000,0.29949615043981875,[499]
0,453.9313621520996,0.3,3.52,1000,0.4000024476400707,[499]
