country,year,transport.emissions,gdp,pop
Austria,1970,7679.74216673,135169130645.024,7467086.0
Austria,1971,8464.74338825,142082989214.129,7500482.0
Austria,1972,9479.25247422,150903303811.962,7544201.0
Austria,1973,10294.92017004,158283132276.333,7586115.0
Austria,1974,9561.1887413999,164522871893.839,7599038.0
Austria,1975,9808.2146368501,163924443911.638,7578903.0
Austria,1976,10043.93889368,171429635128.008,7565525.0
Austria,1977,10505.10050808,180138227325.32,7568430.0
Austria,1978,11298.64333591,179758759493.059,7562305.0
Austria,1979,11937.78022372,189387896783.516,7549425.0
Austria,1980,11150.04067319,192667120935.942,7549433.0
Austria,1981,10509.09066371,192389112509.963,7568710.0
Austria,1982,10427.94436838,196258547592.121,7574140.0
Austria,1983,10779.4216715,202093486979.047,7561910.0
Austria,1984,10509.38506479,202197109935.467,7561434.0
Austria,1985,10696.73078873,207249365643.959,7564985.0
Austria,1986,11074.31978616,212018988476.745,7569794.0
Austria,1987,11259.99843669,214896442478.295,7574586.0
Austria,1988,12053.00647778,221979171128.378,7585317.0
Austria,1989,12532.36078983,230607667590.116,7619567.0
Austria,1990,13142.86699288,240629049863.283,7677850.0
Austria,1991,14578.6101958,248910606082.174,7754891.0
Austria,1992,14596.91990684,254121610895.057,7840709.0
Austria,1993,14747.31097733,255460346929.86,7905633.0
Austria,1994,14801.06830238,261596808649.455,7936118.0
Austria,1995,15024.92360401,268576168421.57,7948278.0
Austria,1996,16639.76803874,274886456416.226,7959017.0
Austria,1997,15702.98720233,280641477589.641,7968041.0
Austria,1998,17664.75327388,290692443914.523,7976789.0
Austria,1999,17087.31282856,301030430129.082,7992324.0
Austria,2000,17953.36829942,311192381028.414,8011566.0
Austria,2001,19290.57103828,315135711888.113,8042293.0
Austria,2002,21397.07631912,320340348097.004,8081957.0
Austria,2003,22880.52308941,323356259321.687,8121423.0
Austria,2004,23195.5684344,332200441760.824,8171966.0
Austria,2005,23896.7686879,339655236682.676,8227829.0
Austria,2006,22635.09934939,351387070656.34,8268641.0
Austria,2007,22799.59720536,364484726093.492,8295487.0
Austria,2008,21794.93906195,369807747327.812,8321496.0
Austria,2009,20996.05486575,355886045571.664,8343323.0
Austria,2010,21789.82505437,362424005611.476,8363404.0
Austria,2011,20895.05597469,373016924602.914,8391643.0
Austria,2012,20943.11126331,375555101767.152,8429991.0
Austria,2013,22272.18937459,375650886015.0,8479823.0
Austria,2014,21912.65844404,378134963330.691,8546356.0
Austria,2015,22356.03236003,381971148530.543,8642699.0
Austria,2016,23212.305140673,389570224508.691,8736668.0
Austria,2017,23690.823455168,398368950204.699,8797566.0
Austria,2018,23960.999017703,408030932405.258,8840521.0
Austria,2019,24297.808947211,414222347188.812,8879920.0
Austria,2020,21133.531889973,387488567518.429,8916864.0
Austria,2021,21650.750630917,405145843845.507,8955797.0
Belgium,1970,9987.1409170401,172346670831.88,9655549.0
Belgium,1971,10439.52480733,179216111161.922,9673162.0
Belgium,1972,11395.52291458,188706688044.546,9711115.0
Belgium,1973,11825.91566951,200749386449.419,9741720.0
Belgium,1974,10958.18356229,209914113819.734,9772419.0
Belgium,1975,12116.96242361,205787325003.57,9800700.0
Belgium,1976,12784.49773056,217419959648.709,9818227.0
Belgium,1977,13572.94442629,218781345279.661,9830358.0
Belgium,1978,14039.65651571,224998884653.738,9839534.0
Belgium,1979,15051.70400158,230266272692.697,9848382.0
Belgium,1980,14753.2018096,240499429910.323,9859242.0
Belgium,1981,14289.50640676,239827755215.623,9858982.0
Belgium,1982,14503.72762042,241254698634.742,9856303.0
Belgium,1983,14618.18424198,242007033807.079,9855520.0
Belgium,1984,14922.87570486,247975853676.465,9855372.0
Belgium,1985,15371.00012271,252071901218.968,9858308.0
Belgium,1986,16920.60710126,256666571621.109,9861823.0
Belgium,1987,17645.56884045,262586995647.719,9870234.0
Belgium,1988,19254.91173786,274989527944.74,9901664.0
Belgium,1989,19841.35431571,284529373856.785,9937697.0
Belgium,1990,19353.62219572,293456205020.658,9967379.0
Belgium,1991,19541.27429652,298835475229.994,10004486.0
Belgium,1992,20272.48484439,303409615205.607,10045158.0
Belgium,1993,20782.54128498,300491199097.648,10084475.0
Belgium,1994,21265.20582792,310187964527.328,10115603.0
Belgium,1995,21336.42171503,317585194591.875,10136811.0
Belgium,1996,21752.71560342,321781927100.664,10156637.0
Belgium,1997,22024.88391852,333989231728.476,10181245.0
Belgium,1998,22703.24887071,340541460104.062,10203008.0
