Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,6592693841.18495,7311749633.36229,7756110210.11966,8374175257.73075,9169983885.71185,9994070615.85997,10887682273.1014,11579431668.9165,12440625312.8685,13582798556.2404,15373005557.0257,17858486066.7474,22059612476.9332,29515467706.796,35189299911.6608,40059206763.056,42959976221.5234,51545758887.6863,62052259073.2493,73937296963.4586,82058912997.2346,71034228443.062,71275287569.5733,72121016546.6524,67985344886.8716,69386774408.0872,99036164939.1618,124168442533.74,133339397080.129,133105805512.22,166463386179.354,173794177961.108,195078126721.763,190379720809.18,203535242741.838,241038283062.645,237250948791.266,212790348404.555,218259904401.956,217259147049.954,197289625479.906,197508773215.323,214394866675.24,262273631180.054,301457562038.541,316092273276.015,336280064332.411,389185571506.052,432051935642.945,401758735822.211,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444621176100.548,435225238000.437,480368403893.364
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,11658722590.99,12400145221.595,13264015675.3193,14260017387.0492,15960106680.6732,17371457607.9374,18651883472.4808,19992040788.4593,21376353113.475,23710735894.7022,26706196046.7931,29821661869.912,37209418018.5134,47743801490.3747,56033077879.0389,65678189097.2908,71113882967.6071,82839905458.6382,101246526194.441,116315456796.918,126829314388.191,104730018470.23,92095926187.5331,87184239053.2544,83349530159.1734,86268264148.3796,120018787249.413,149394404105.889,162299103675.261,164221056511.057,205331747947.851,210510999409.333,234781652446.675,224721795708.955,244884129491.198,288025588396.278,279201433224.756,252708051420.839,258528339631.029,258245733221.468,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,483254171097.812,481420882905.001,523330354138.133,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543299066998.902,535830876745.097,525211810652.608,594104177539.525
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19839230769.2308,19870000000,19342000000,16563666666.6667,17594944444.4444,17155421052.6316,20249294117.6471,28101000000,22555941176.4706,21988444444.4444,20632090909.0909,10943548387.0968,10350515463.9175,10829710144.9275,9697416974.16974,18983288690.4762,12294204609.3311,11315986087.1633,15030696432.6289,13627325461.1743,13245834314.5104,14183497963.1071,16402846413.0958,21144982397.4144,26157892832.2011,29869284035.3218,34379808888.6039,44432811756.4731,54481376860.3695,52023505367.1714,50682061053.2016,57678241023.818,54300857424.4415,55810138436.4821,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363537115.2686,68915875214.6537,70240275010.1964,84056312734.3089
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22643720762.9666,24004834103.591,24029651136.9587,25732125031.9808,23628947414.5284,21807856145.1037,23259567777.5327,27085262278.8634,35022903386.8064,42013459301.7962,45835098187.6637,50915016294.105,60641942979.2183,70943300079.4666,63324394633.9008,60672093864.787,63408294943.4855,57369359295.2829,59032066091.7147,58423981441.1801,50242783066.1173,52397494687.4863,56323836169.7177,62316840749.9705,62327983579.5899,57472012426.6853,68955083280.1922
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,489914760.682807,576090073.715036,734887973.975806,964026512.197839,1288715209.58084,2154311276.94859,2087496373.77964,2159242416.76942,2160364071.19021,2278248953.14058,2430411900.19194,3090734463.27684,3704813885.50548,4278792597.23965,4563482603.5503,5591130217.66965,5770197348.48485,6912150456.32334,6590291048.29211,7425703928.57143,9933133247.08926,10011918444.1656,9547818700.11403,10248617647.0588,10497908306.3646,9985844486.33365,10397897085.6102,11420227884.6154,14547325028.3126,17320552500,18433411267.2553,20072786350.5206,23968764029.5647,27844698989.3072,25945391775.4932,25800247911.9714,27642086581.2918,25048659899.7816,23961144906.3621,23226782250.5646,19909190058.804,21046951516.4932,22946726163.5789,25596474964.5725,25944504645.6957,25008448886.3507,28407867534.0035
GDP (current US$),NY.GDP.MKTP.CD,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40728950704.6176,29859921158.8696,34805013229.572,40866748705.1075,47850203856.1751,60147174076.8651,67387788632.9812,62180159376.1239,66807429711.411,65173130995.2212,61828166496.0941,67808032979.5429,82196001050.7474,100090467581.268,119814434353.575,137143471328.274,156264095664.643,190183800884.018,236816485762.988,207434296805.33,209069940963.177,229562733398.948,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,249000540729.179,252548179964.897,245974558654.043,281777887121.451
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,..,..,..,..,..,..,11931739858.7046,13059064374.6287,13505573866.6667,15414902266.6667,17075457600,19085731252.4407,23232379951.9376,30730626663.3606,34160444798.1099,40474406216.2821,44575892473.1183,49784338519.4563,60362931853.6249,70366241969.2074,71127528699.9414,61877813965.2413,60412844678.604,60644782176.0525,59105236853.7937,62658568287.3429,88078760103.8191,109414423928.775,115552846616.653,112409222182.704,138247285815.855,139224688814.195,152915654478.885,143195627014.605,156162386724.523,185006881515.065,187632346387.984,173537647058.824,176991934992.837,177965188354.692,164158739097.623,164791442543.375,178635163717.431,218096033517.009,251373002954.382,264467336457.17,282884947702.966,319423424509.066,353361038818.383,321241303699.006,321995279401.502,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,346498737961.635,355222449505.211,398303272764.46
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4502970889.06373,4786018988.16491,5154420649.23354,5674080542.88575,5756912265.75809,5686579747.53524,6254649538.98487,7367975887.72723,9874013098.46432,12145911801.2422,14106790200.2239,17022870405.2189,22449129482.617,24341678628.9732,19633031397.6104,19523477325.6235,23213994093.4631,23019150071.1867,25115753366.1114,26634083965.0987,22890762090.1508,24072829276.7744,26924385103.0659,30624720196.229,31081901909.2156,31370395572.7658,37191166151.98
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,5224102195.52771,5921659485.03284,6340580854.39073,6885920328.66187,7766655085.78588,8589340019.02985,9208524504.87684,9368954010.3132,8823033880.32993,10070766720.5011,11357516987.5425,12527405512.9298,14743186119.8738,19472363466.6252,24848821490.4679,29472623242.2822,31849513771.3494,33499799321.2336,36256160288.8087,44465255686.1548,53645202422.6968,52448332874.07,52797582336.2526,50973526900.0854,52888800949.7428,55875863392.1719,73531550551.255,91594751792.2359,109058990760.483,119012054870.445,141438345513.917,127773856785.767,112532519246.084,89214114708.0254,103299943084.804,134189814814.815,132129174216.93,126912152101.707,134038718291.055,135264083658.688,126019543413.334,129533107311.811,140404460203.138,171652458349.411,197479443979.151,204885494686.381,217089269791.764,256378067752.158,285716311136.719,253497520828.515,249424310816.667,275604356167.316,258290060227.734,271362405890.589,274862826772.156,234534382384.766,240771351298.833,255647979916.471,275708001767.843,268514916972.549,271891788362.647,297301883523.251
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,62225478000.8822,67461644222.0352,75607529809.9288,84759195105.8693,94007851047.3678,101537248148.427,110045852177.928,118972977486.207,129785441507.456,141903068680.309,148456359985.827,165966615366.402,203494148244.473,264429876252.21,285552373158.756,360832186018.051,372319038514.067,410279486493.715,506707848837.209,613953129818.07,701288419745.421,615552202776.101,584877732308.614,559869179791.72,530683779929.445,553138414367.061,771470783218.108,934173305685.911,1018847043277.17,1025211803413.53,1269179616913.63,1269276828275.78,1401465923172.24,1322815612694,1393982750472.59,1601094756209.75,1605675086549.56,1452884917959.09,1503108739159.44,1493151737698.46,1365639660792.16,1377657339291.34,1501409382971.38,1844544792036.86,2119633181634.37,2196945232435.8,2320536221304.7,2660591246211.77,2930303780828.12,2700887366932.03,2645187882116.67,2865157541994.17,2683671716967.19,2811876903329.03,2855964488590.19,2439188643162.5,2472964344587.17,2595151045197.65,2790956878746.66,2728870246705.88,2639008701648.26,2957879759263.52
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,..,..,..,..,..,..,..,..,..,..,215838448137.658,249985055484.303,299801542047.476,398374021953.897,445303484241.554,490636517211.225,519754453161.411,600498238019.035,740469983446.933,881345176608.686,950290856466.538,800472055387.278,776576439106.956,770684323247.798,725111123634.115,732534887058.198,1046259374943.71,1298176105549.51,1401233225303.49,1398967436804.33,1771671206875.68,1868945197407.19,2131571696931.75,2071323790370.28,2205074123177.05,2585792275146.72,2497244606186.64,2211989623279.95,2238990774702.68,2194945278872.59,1947981991011.77,1945790973803.15,2078484517474.51,2501640388482.35,2814353869359.08,2846864211175.1,2994703642023.53,3425578382921.58,3745264093617.19,3411261212652.34,3399667820000.01,3749314991050.59,3527143188785.16,3733804649549.03,3889093051023.52,3357585719351.56,3469853463945.53,3690849152517.65,3974443355019.6,3888226035921.56,3889668895299.62,4259934911821.64
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,4335186016.83942,4961400439.31722,5213047711.42704,5895278024.09202,6669673257.1183,7689154053.35866,8591517943.60129,9275600800.35644,10090675902.5364,11615657031.2387,13139863636.3636,14591750000,16885511363.6364,22347848101.2658,25351306818.1818,28525876726.8863,31152835820.8955,36176234967.6226,44270204081.6327,54481876724.931,56829664268.5851,52346506765.0676,54617989795.9184,49428873839.0093,48020024183.7969,47820851221.3175,56379593476.1441,65652750377.4535,76261277924.5736,79169043222.8284,97891092003.4394,105143232379.884,116224672863.783,108809059155.767,116601801966.292,136878365936.167,145861612400.906,143157600149.757,144428172489.335,142588875293.749,130457756628.436,136309295225.34,154564203586.954,202370140236.265,240963562236.127,247875422204.414,273546728473.073,318902829550.733,355908689477.445,331308500253.274,297124961971.501,282995942006.557,242029307133.408,238907690051.13,235458133124.608,195683527003.375,193148146586.933,199844406013.531,212049447242.111,205257014892.502,188925995936.807,214873879833.648
